brand,stock_name,stock_qty,stock_screen,stock_quality,stock_model,status,listing_sku,listing_qty,listing_price,listing_screen,listing_quality,listing_brand,listing_title
ONEPLUS,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,10pro,INACTIVE,1+10PROCARE,0,18488,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 10 Pro (Fingerprint Support) CareOG Display+Touch Screen 
ONEPLUS,OnePlus 7 CareOG,1,Not Specified,CareOG,7,INACTIVE,1+7CARE,0,4889,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 7 (Fingerprint Support) CareOG Display+Touch Screen Combo
ONEPLUS,OnePlus 7 Incell,1,Incell LCD,Standard,7,ACTIVE,1+7TLCD,100,2850,LCD,Standard,ONEPLUS,Compatible for OnePlus 7T (No Fingerprint Support) LCD Display+Touch Screen Comb
ONEPLUS,OnePlus 8 Pro Incell,1,Incell LCD,Standard,8pro,INACTIVE,1+8ProLCD,0,4048,LCD,Standard,ONEPLUS,Compatible for OnePlus 8 Pro LCD (No Fingerprint Support) Display+Touch Screen C
ONEPLUS,OnePlus 10R Incell,1,Incell LCD,Standard,10r,ACTIVE,1+10RLCD,97,2428,LCD,Standard,ONEPLUS,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
ONEPLUS,OnePlus 11R CareOG,1,Not Specified,CareOG,11r,INACTIVE,1+11RCARE,0,6748,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 11R (Fingerprint Support) CareOG Display+Touch Screen Com
ONEPLUS,OnePlus Nord CareOG,1,Not Specified,CareOG,nord,INACTIVE,CE2LYTCARE,0,2789,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus Nord CE 2 Lite CareOG Display+Touch Screen Combo Folder
ONEPLUS,OnePlus 9RT Incell,1,Incell LCD,Standard,9rt,ACTIVE,1+9RtLCD,2,2498,LCD,Standard,ONEPLUS,Compatible for OnePlus 9Rt LCD (No Fingerprint Support) Display+Touch Screen Com
ONEPLUS,OnePlus 9 CareOG,1,Not Specified,CareOG,9,INACTIVE,1+9CARE,0,8746,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 9 (Fingerprint Support) CareOG Display+Touch Screen Combo
ONEPLUS,OnePlus Nord CE 2 Lite Incell,1,Incell LCD,Standard,nordce2lite,ACTIVE,NORD2UNI,96,2737,LCD,Standard,ONEPLUS,Compatible for OnePlus Nord 2 (No Fingerprint Support) LCD Display+Touch Screen 
APPLE,iPhone 13 Incell,1,Incell LCD,Standard,13,INACTIVE,IP13MiniLCD,0,3509,LCD,Standard,APPLE,Compatible for Apple iPhone 13 Mini LCD Display+Touch Screen Combo Folder
APPLE,iPhone 13 Pro OLED,1,OLED,Standard,13pro,ACTIVE,IP13PMGX,1,10174,OLED,Standard,APPLE,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
APPLE,iPhone 13 Pro Max OLED,1,OLED,Standard,13promax,ACTIVE,IP13PMGX,1,10174,OLED,Standard,APPLE,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
APPLE,iPhone 13 Pro Max Incell,1,Incell LCD,Standard,13promax,INACTIVE,IP13PMLCD,0,4139,LCD,Standard,APPLE,Compatible for Apple iPhone 13 Pro Max LCD Display+Touch Screen Combo Folder
APPLE,iPhone 11 Pro Max OLED,1,OLED,Standard,11promax,INACTIVE,11PMAXOLED,0,4588,OLED,Standard,APPLE,Compatible for Apple iPhone 11 Pro Max GX Amoled Display+Touch Screen Combo Fold
APPLE,iPhone 11 Incell,1,Incell LCD,Standard,11,INACTIVE,IP11LCD,0,2427,LCD,Standard,APPLE,Compatible for Apple iPhone 11 LCD Display+Touch Screen Combo Folder
APPLE,iPhone 8 Plus Incell,1,Incell LCD,Standard,8plus,NOT LISTED,,,,,,,
APPLE,iPhone 8 CareOG,1,Not Specified,CareOG,8,INACTIVE,IP8+WCARE,0,3311,Not Specified,CareOG,APPLE,Compatible for Apple iPhone 8+ (White) CareOG Display+Touch Screen Combo Folder
APPLE,iPhone XS Incell,1,Incell LCD,Standard,xs,INACTIVE,IPXSLCD,0,2469,LCD,Standard,APPLE,Compatible for Apple iPhone Xs LCD Display+Touch Screen Combo Folder
APPLE,iPhone 14 Pro Max Incell,1,Incell LCD,Standard,14promax,INACTIVE,IP14PMLCD,0,4650,LCD,Standard,APPLE,Compatible for Apple iPhone 14 Pro Max LCD Display+Touch Screen Combo Folder
SAMSUNG,Galaxy A73 OLED,1,OLED,Standard,a73,NOT LISTED,,,,,,,
SAMSUNG,Galaxy A32 4G Incell,1,Incell LCD,Standard,a324g,NOT LISTED,,,,,,,
SAMSUNG,Galaxy A32 4G Incell,1,Incell LCD,Standard,a324g,NOT LISTED,,,,,,,
SAMSUNG,Galaxy A31 Incell,1,Incell LCD,Standard,a31,ACTIVE,A31,97,2049,LCD,Standard,SAMSUNG,Compatible for Samsung Galaxy A31 (No Fingerprint Support) LCD Display+Touch Scr
SAMSUNG,Galaxy S21 FE OLED,1,OLED,Standard,s21fe,NOT LISTED,,,,,,,
SAMSUNG,Galaxy S20 FE With Frame OLED,1,OLED,With Frame,s20fe,INACTIVE,GLXS20FeWFLED,0,4796,OLED,With Frame,SAMSUNG,Compatible for Samsung Galaxy S20 FE (with Frame) Amoled (Fingerprint Support) D
SAMSUNG,Galaxy J7 Next Incell,3,Incell LCD,Standard,j7next,NOT LISTED,,,,,,,
SAMSUNG,Galaxy J7 2016 Incell,1,Incell LCD,Standard,j72016,NOT LISTED,,,,,,,
SAMSUNG,Galaxy J7 2015 Incell,1,Incell LCD,Standard,j72015,NOT LISTED,,,,,,,
SAMSUNG,Galaxy A30s Incell,2,Incell LCD,Standard,a30s,ACTIVE,A30S,2,2298,LCD,Standard,SAMSUNG,Compatible for Samsung Galaxy A30s (No Fingerprint Support) LCD Display+Touch Sc
SAMSUNG,Galaxy J7 Max Incell,1,Incell LCD,Standard,j7max,NOT LISTED,,,,,,,
SAMSUNG,Galaxy A10 Incell,1,Incell LCD,Standard,a10,ACTIVE,A10S,100,1966,LCD,Standard,SAMSUNG,Compatible for Samsung Galaxy A10s LCD Display+Touch Screen Combo Folder
