Match Type,Brand,Stock Item,Qty,Stock Screen,Stock Quality,Sunsky Primary Model,Sunsky Cross-fit Models,Sunsky Item No,Sunsky Price (INR),Sunsky Product Type,Amazon Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Amazon Title,Flag
EXACT MATCH,OnePlus,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,10 Pro,,RPS0646,Rs.1298,LCD Screen,OnePlus 10 Pro,Inactive,1+10PROCARE,0,18488,Not Specified,CareOG,Compatible for OnePlus 10 Pro (Fingerprint Support) CareOG Display+Touch Screen Combo Fold,
EXACT MATCH,OnePlus,OnePlus 7 CareOG,1,Not Specified,CareOG,7,,MPB2319,Rs.341,For Nokia,OnePlus 7,Inactive,1+7CARE,0,4889,Not Specified,CareOG,Compatible for OnePlus 7 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder,
EXACT MATCH,OnePlus,OnePlus 7 Incell,1,Incell LCD,Standard,7,,MPB2319,Rs.341,For Nokia,OnePlus 7,Active,OP7LCD,99,2850,LCD,Standard,Compatible for OnePlus 7 (No Fingerprint Support) LCD Display+Touch Screen Combo Folder,
EXACT MATCH,OnePlus,OnePlus 8 Pro Incell,1,Incell LCD,Standard,8 Pro,,MPB9877,Rs.458,For OnePlus,OnePlus 8 Pro,Inactive,1+8ProLCD,0,4048,LCD,Standard,Compatible for OnePlus 8 Pro LCD (No Fingerprint Support) Display+Touch Screen Combo Folde,
EXACT MATCH,OnePlus,OnePlus 10R Incell,1,Incell LCD,Standard,10R,,EDA003600301,Rs.2922,LCD Screen,OnePlus 10R,Active,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Combo Folder,
EXACT MATCH,OnePlus,OnePlus 11R CareOG,1,Not Specified,CareOG,11R,,RPS0648,Rs.1288,LCD Screen,OnePlus 11R,Inactive,1+11RCARE,0,6748,Not Specified,CareOG,Compatible for OnePlus 11R (Fingerprint Support) CareOG Display+Touch Screen Combo Folder,
EXACT MATCH,OnePlus,OnePlus Nord CareOG,1,Not Specified,CareOG,Nord,,EDA004986023,Rs.514,For OnePlus,OnePlus Nord CE 2 Lite,Inactive,CE2LYTCARE,0,2789,Not Specified,CareOG,Compatible for OnePlus Nord CE 2 Lite CareOG Display+Touch Screen Combo Folder,
EXACT MATCH,OnePlus,OnePlus 9RT Incell,1,Incell LCD,Standard,9RT 5G,,SPS1572,Rs.4816,LCD Screen,OnePlus 9Rt,Active,1+9RtLCD,2,2498,LCD,Standard,Compatible for OnePlus 9Rt LCD (No Fingerprint Support) Display+Touch Screen Combo Folder,
EXACT MATCH,OnePlus,OnePlus 9 CareOG,1,Not Specified,CareOG,9,,MPB0445,Rs.860,For OnePlus,Tecno Camon 19,Active,TCCM19WFOG,1,2898,Not Specified,CareOG,Compatible for Tecno Camon 19 (with Frame) CareOG Display+Touch Screen Combo Folder,
EXACT MATCH,OnePlus,OnePlus Nord CE 2 Lite Incell,1,Incell LCD,Standard,Nord,,EDA004986023,Rs.514,For OnePlus,OnePlus Nord CE 2 Lite,Active,P2-NAQO-T7PA,100,2469,LCD,Standard,Compatible for OnePlus Nord CE 2 Lite LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone 13 Incell,1,Incell LCD,Standard,13,,EDA004222105,Rs.6136,LCD Screen,Apple iPhone 13,Inactive,IP13OG,0,2790,LCD,Standard,Compatible for Apple iPhone 13 LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone 13 Pro OLED,1,OLED,Standard,13 Pro,,SPS7838S,Rs.12643,LCD Screen,Apple iPhone 13 Pro Max GX Am,Active,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone 13 Pro Max OLED,1,OLED,Standard,iPhone 13 Pro Max,,EDA003287204,Rs.787,For iPhone,Apple iPhone 13 Pro Max GX Am,Active,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone 13 Pro Max Incell,1,Incell LCD,Standard,iPhone 13 Pro Max,,EDA003287204,Rs.787,For iPhone,Apple iPhone 13 Pro Max,Inactive,IP13PMLCD,0,4139,LCD,Standard,Compatible for Apple iPhone 13 Pro Max LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone 11 Pro Max OLED,1,OLED,Standard,iPhone 11 Pro Max,,IP110004,Rs.717,For iPhone,Apple iPhone 11 Pro Max GX Am,Inactive,11PMAXOLED,0,4588,OLED,Standard,Compatible for Apple iPhone 11 Pro Max GX Amoled Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone 11 Incell,1,Incell LCD,Standard,11,,RPS0647,Rs.1314,LCD Screen,Apple iPhone 11,Inactive,IP11LCD,0,2427,LCD,Standard,Compatible for Apple iPhone 11 LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone 8 CareOG,1,Not Specified,CareOG,8,,MPB2316,Rs.420,For Nokia,Apple iPhone 8,Inactive,IP8WCARE,0,2887,Not Specified,CareOG,Compatible for Apple iPhone 8 (White) CareOG Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone XS Incell,1,Incell LCD,Standard,Mate Xs,,SPS9518,Rs.2028,For Huawei,Apple iPhone Xs,Inactive,IPXSLCD,0,2469,LCD,Standard,Compatible for Apple iPhone Xs LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Apple,iPhone 14 Pro Max Incell,1,Incell LCD,Standard,iPhone 14 Pro Max,,EDA004045904,Rs.771,For iPhone,Apple iPhone 14 Pro Max,Inactive,IP14PMLCD,0,4650,LCD,Standard,Compatible for Apple iPhone 14 Pro Max LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Samsung,Galaxy A31 Incell,1,Incell LCD,Standard,A31,,SPS1010,Rs.75,Small Board,Samsung Galaxy A31,Active,A31,97,2049,LCD,Standard,Compatible for Samsung Galaxy A31 (No Fingerprint Support) LCD Display+Touch Screen Combo ,
EXACT MATCH,Samsung,Galaxy A30s Incell,2,Incell LCD,Standard,30S,,SPS5743GL,Rs.1460,LCD Screen,Samsung Galaxy A30s,Active,A30S,2,2298,LCD,Standard,Compatible for Samsung Galaxy A30s (No Fingerprint Support) LCD Display+Touch Screen Combo,
EXACT MATCH,Samsung,Galaxy A10 Incell,1,Incell LCD,Standard,nova 10 SE,,SPS9527,Rs.3719,For Huawei,Samsung Galaxy A10s,Active,A10S,100,1966,LCD,Standard,Compatible for Samsung Galaxy A10s LCD Display+Touch Screen Combo Folder,
EXACT MATCH,XIAOMI/REDMI/POCO,A3 Incell,1,Incell LCD,Standard,A3,,EDA008432052,Rs.75,Speaker Ringer Buzzer,Huawei Nova 3i,Inactive,NOVA3i,0,2475,LCD,Standard,Compatible for Huawei Nova 3i LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Mixed,Nothing Phone 1 CareOG,1,Not Specified,CareOG,1,,SP3846,Rs.118,Charging Port Board,Tecno Camon 19,Active,TCCM19WFOG,1,2898,Not Specified,CareOG,Compatible for Tecno Camon 19 (with Frame) CareOG Display+Touch Screen Combo Folder,
EXACT MATCH,Mixed,Honor 8C Incell,1,Incell LCD,Standard,8C,,SP2888BL,Rs.1028,LCD Screen,Tecno Spark 8C,Inactive,TCNSP8C,0,2148,LCD,Standard,Compatible for Tecno Spark 8C LCD Display+Touch Screen Combo Folder,
LOOSE MATCH,Realme,Realme C67 Incell,1,Incell LCD,Standard,C67 4G,,RPS0460DG,Rs.1243,LCD Screen,Realme C67,Inactive,RLMC67WFOG,0,2969,Not Specified,CareOG,Compatible for Realme C67 (with Frame) CareOG Display+Touch Screen Combo Folder,SCREEN: Incell LCD->Not Specified | QUALITY: Standard->CareOG
LOOSE MATCH,Realme,Realme C30 Incell,1,Incell LCD,Standard,C30,,SPS3755BL,Rs.714,LCD Screen,Realme C30,Inactive,RLMC30WFOG,0,2499,Not Specified,CareOG,Compatible for Realme C30 (with Frame) CareOG Display+Touch Screen Combo Folder,SCREEN: Incell LCD->Not Specified | QUALITY: Standard->CareOG
LOOSE MATCH,Realme,Realme C53 Incell,1,Incell LCD,Standard,C53,,RPS0436BL,Rs.157,Back Cover,Realme C53,Active,RMC53CARE,1,2736,Not Specified,CareOG,Compatible for Realme C53 CareOG Display+Touch Screen Combo Folder,SCREEN: Incell LCD->Not Specified | QUALITY: Standard->CareOG
LOOSE MATCH,Realme,Realme 3 Pro Frame,1,Not Specified,With Frame,3 Pro,Realme X Lite,EDA003358858,Rs.400,For OPPO,iTel A23 Pro,Active,iTelA23P,100,2069,LCD,Standard,Compatible for iTel A23 Pro LCD Display+Touch Screen Combo Folder,SCREEN: Not Specified->LCD | QUALITY: With Frame->Standard
